"NAME","neg1825000_neg2975000","75000_neg2525000","625000_neg3475000","neg1425000_neg3225000","1775000_neg3725000","neg1425000_neg3475000","neg1225000_neg3775000","neg1425000_neg3275000","1225000_neg1275000","neg1175000_neg3275000","neg1075000_neg2825000","neg1075000_neg2375000","rwibald_type"
"150___",NA,NA,NA,NA,NA,"-9.295665e-06","-9.295665e-06",NA,NA,NA,NA,NA,"other"
"151___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"152___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"153___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"154___",NA,NA,NA,NA,"-6.377801e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"155___",NA,NA,NA,NA,"-5.377289e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"156___",NA,NA,"-2.081803e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"157___",NA,NA,"-2.016228e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"158___",NA,NA,"-5.2143e-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"159___",NA,NA,"-2.733338e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"160___",NA,NA,"-1.884307e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"161___",NA,NA,"-2.62046e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"162___",NA,NA,"-7.928674e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"163___",NA,NA,NA,NA,NA,"-8.579212e-05",NA,NA,NA,NA,NA,NA,"other"
"164___",NA,NA,NA,NA,NA,"-4.055118e-05",NA,NA,NA,NA,NA,NA,"other"
"165___",NA,NA,"-5.317992e-05",NA,NA,"-5.317992e-05",NA,NA,NA,NA,NA,NA,"other"
"166___",NA,NA,"-3.881388e-05",NA,NA,"-3.881388e-05",NA,NA,NA,NA,NA,NA,"other"
"167___",NA,NA,"-6.635684e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"168___",NA,NA,NA,NA,NA,"-0.000234055",NA,NA,NA,NA,NA,NA,"other"
"169___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"170___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"171___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"172___",NA,NA,NA,NA,NA,"-1.632098e-05","-1.632098e-05",NA,NA,NA,NA,NA,"other"
"173___",NA,NA,NA,NA,NA,"-7.146576e-05","-7.146576e-05",NA,NA,NA,NA,NA,"other"
"174___",NA,NA,NA,NA,NA,"-0.0001047326","-0.0001047326",NA,NA,NA,NA,NA,"other"
"175___",NA,NA,"-8.111423e-05",NA,NA,"-8.111423e-05","-8.111423e-05",NA,NA,NA,NA,NA,"other"
"176___",NA,NA,"-5.078982e-05",NA,NA,"-5.078982e-05","-5.078982e-05",NA,NA,NA,NA,NA,"other"
"177___",NA,NA,"-3.322331e-05",NA,NA,"-3.322331e-05","-3.322331e-05",NA,NA,NA,NA,NA,"other"
"178___",NA,NA,"-3.630758e-05",NA,NA,"-3.630758e-05","-3.630758e-05",NA,NA,NA,NA,NA,"other"
"179___",NA,NA,"-1.584181e-05",NA,NA,"-1.584181e-05","-1.584181e-05",NA,NA,"-1.584181e-05",NA,NA,"other"
"180___",NA,NA,"-2.020151e-05",NA,NA,"-2.020151e-05","-2.020151e-05",NA,NA,"-2.020151e-05",NA,NA,"other"
"181___",NA,NA,"-6.029602e-06",NA,NA,"-6.029602e-06","-6.029602e-06",NA,NA,"-6.029602e-06",NA,NA,"other"
"182___",NA,NA,"-1.157549e-05",NA,"-1.157549e-05","-1.157549e-05","-1.157549e-05",NA,NA,"-1.157549e-05",NA,NA,"other"
"183___",NA,NA,NA,NA,"6.899068e-06",NA,NA,NA,NA,NA,NA,NA,"other"
"184___",NA,NA,NA,NA,"-2.292827e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"185___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"186___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"187___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"188___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"189___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.301308e-05","other"
"190___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"191___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"192___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"193___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"194___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"195___",NA,NA,NA,NA,"-4.500934e-06",NA,NA,NA,NA,NA,NA,NA,"other"
"196___",NA,NA,NA,NA,"-2.733386e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"197___",NA,NA,NA,NA,"-5.928645e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"198___",NA,NA,NA,NA,"-4.070552e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"199___",NA,NA,NA,NA,"-2.615254e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"200___",NA,NA,NA,NA,"-9.582659e-06",NA,NA,NA,NA,NA,NA,NA,"other"
"201___",NA,NA,NA,NA,"-2.672766e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"202___",NA,NA,NA,NA,"-3.147331e-05",NA,NA,NA,NA,NA,NA,"-3.147331e-05","other"
"203___",NA,NA,NA,NA,"-3.155094e-05",NA,NA,NA,NA,NA,NA,"-3.155094e-05","other"
"204___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"205___",NA,NA,NA,NA,"-0.0001601789",NA,NA,NA,NA,NA,NA,NA,"other"
"206___",NA,NA,NA,NA,"-0.0001313773",NA,"-0.0001313773",NA,NA,NA,NA,NA,"other"
"207___",NA,NA,NA,NA,"-4.298767e-05",NA,"-4.298767e-05",NA,NA,NA,NA,NA,"other"
"208___",NA,NA,NA,NA,"-4.458551e-05",NA,"-4.458551e-05",NA,NA,NA,NA,NA,"other"
"209___",NA,NA,NA,NA,"-3.649967e-05",NA,"-3.649967e-05",NA,NA,NA,NA,NA,"other"
"210___",NA,NA,NA,NA,"-3.175059e-05",NA,"-3.175059e-05",NA,NA,NA,NA,NA,"other"
"211___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"212___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"neo-endemic"
"213___",NA,NA,NA,NA,"-0.0003766911",NA,NA,NA,NA,NA,NA,NA,"other"
"214___",NA,NA,NA,NA,"-0.0001470915",NA,NA,NA,NA,NA,NA,NA,"other"
"215___",NA,NA,NA,NA,"-0.0002597179",NA,NA,NA,NA,NA,NA,NA,"other"
"216___",NA,NA,NA,NA,"-0.0002021922",NA,NA,NA,NA,NA,NA,NA,"other"
"217___",NA,NA,NA,NA,"-0.0001772664",NA,NA,NA,NA,NA,NA,NA,"other"
"218___",NA,NA,NA,NA,"-0.0001643743",NA,NA,NA,NA,NA,NA,NA,"other"
"219___",NA,NA,NA,NA,"-0.0001558722",NA,NA,NA,NA,NA,NA,NA,"other"
"220___",NA,NA,NA,NA,"-0.0001255637",NA,NA,NA,NA,NA,NA,NA,"other"
"221___",NA,NA,NA,NA,"-2.449907e-05",NA,"-2.449907e-05",NA,NA,NA,NA,NA,"other"
"222___",NA,NA,NA,NA,"-6.901212e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"223___",NA,NA,NA,NA,"-5.047591e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"224___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"225___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"226___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"227___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"228___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"229___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"230___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"231___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"232___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"233___",NA,NA,NA,NA,"-0.0001063598",NA,NA,NA,NA,NA,NA,NA,"other"
"234___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"235___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"236___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"237___",NA,NA,NA,NA,"-0.0002193026",NA,NA,NA,NA,NA,NA,NA,"other"
