ELEMENT,Axis_0,COLOUR,DEPTH,LENGTH,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TERMINAL_NODE_FIRST,TERMINAL_NODE_LAST,TOTAL_LENGTH,TREENAME,_y
707,707,,27,0.000695484790215168,0.000695484790215168,rhetinocarpa,707,705,355,355,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,364.7
708,708,,23,3.29974535503547e-005,3.29974535503547e-005,339___,708,698,356,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,368.3875
709,709,,24,4.58949353949096e-005,4.58949353949096e-005,334___,709,708,356,358,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,366.45
71,71,,9,7.17563672444221e-005,7.17563672444221e-005,30___,71,67,36,37,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,46.2
710,710,,25,4.78375781629481e-005,4.78375781629481e-005,paradoxa,710,709,356,356,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,365.7
711,711,,25,0.000180826045455944,0.000180826045455944,333___,711,709,357,358,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,367.2
712,712,,26,0.000452065113639859,0.000452065113639859,dodonaeifolia,712,711,357,357,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,366.7
713,713,,26,0.000301376742426573,0.000301376742426573,aspera,713,711,358,358,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,367.7
714,714,,24,5.13710356408931e-005,5.13710356408931e-005,338___,714,708,359,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,370.325
715,715,,25,0.000301376742426573,0.000301376742426573,335___,715,714,359,360,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,369.2
716,716,,26,0.000565081392049824,0.000565081392049824,cognata,716,715,359,359,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,368.7
717,717,,26,0.000645807305199799,0.000645807305199799,howittii,717,715,360,360,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,369.7
718,718,,25,5.58105078567727e-005,5.58105078567727e-005,337___,718,714,361,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,371.45
